 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T01F15  61977   40   13.28   60.14   22.93   8.2   7.2   2.0   1.3   1.2
T01F14  61977   27   17.95   55.69   23.29   8.7   7.7   2.1   1.4   1.3
T01F13  61977   14   18.91   64.66   23.52   8.9   7.8   2.2   1.4   1.3
T01F44  72277   46   29.68  124.23   26.00   8.4   7.3   2.0   1.3   1.2
T02F20  81277 2349   25.36   38.64   32.27   6.2   5.4   2.0   1.2   1.0
T02F19  81277 2338   24.55   42.70   32.08   6.2   5.4   2.0   1.2   1.0
T02F18  81277 2318   24.76   50.96   31.46   6.6   5.8   2.1   1.3   1.1
T02F17  81277 2317   22.88   51.35   31.42   7.2   6.3   2.3   1.4   1.2
T02F16  81277 2236   25.90   68.51   29.04   5.8   5.1   1.6   1.0   0.9
T02F15  81277 2227   25.16   72.98   28.34   5.6   4.9   1.5   1.0   0.9
T02F14  81277 2219   24.36   77.41   27.67   6.6   5.8   1.8   1.1   1.0
T02F13  81277 2210   23.80   82.47   26.86   7.5   6.6   2.0   1.3   1.1
T02F12  81277 2201   23.36   87.76   25.99   7.5   6.6   1.9   1.2   1.1
T02F11  81277 2152   23.06   93.29   25.07   6.8   6.0   1.7   1.1   1.0
T02F10  81277 2144   22.75   98.70   24.21   7.0   6.1   1.7   1.1   1.0
T02F09  81277 2135   22.75  104.50   23.19   8.2   7.2   1.9   1.3   1.1
T02F08  81277 2127   22.76  110.14   22.25   5.5   4.8   1.2   0.8   0.7
T02F07  81277 2119   22.94  115.80   21.27   5.4   4.7   1.1   0.8   0.7
T02F06  81277 2111   23.28  121.38   20.26   5.4   4.7   1.1   0.7   0.7
T02F05  81277 2103   23.80  126.84   19.22   5.5   4.8   1.1   0.7   0.7
T01F88  81277  235   21.90  114.40   22.31   7.0   6.2   1.6   1.1   1.0
T01F86  81277  140   20.89   84.86   27.87   5.8   5.1   1.7   1.1   0.9
T01F85  81277  130   26.08 -107.43   28.66   3.6   3.2   1.0   0.6   0.6
T01F84  81277  122   26.25 -109.03   29.23   3.5   3.1   1.0   0.6   0.5
T01F83  81277  114   26.47 -110.65   29.76   6.0   5.2   1.7   1.1   0.9
T01F82  81277  107   26.90 -112.34   30.18   3.7   3.2   1.1   0.7   0.6
T01F81  81277   58   27.02 -113.87   30.66   5.1   4.5   1.5   0.9   0.8
T01F80  81277   46   26.65 -115.34   31.19   5.3   4.6   1.6   1.0   0.8
T01F79  81277   33   26.19 -116.99   31.62   4.4   3.8   1.3   0.8   0.7
T01F78  81277   20   25.84 -118.86   31.90   5.6   4.9   1.8   1.1   0.9
T01F77  81277    6   25.47 -121.00   32.04   4.4   3.8   1.4   0.8   0.7
T01F76  81177 2351   25.12 -123.49   31.98   3.9   3.4   1.2   0.8   0.6
T01F75  81177 2317   22.67 -130.02   31.11   5.7   5.0   1.8   1.1   1.0
T01F74  81177 2301   23.07 -133.81   30.35   4.7   4.1   1.5   0.9   0.8
T01F73  81177 2244   23.73 -137.79   29.31   5.2   4.5   1.5   0.9   0.8
T01F72  81177 2227   24.77 -141.52   28.04   5.2   4.5   1.4   0.9   0.8
T01F71  81177 2210   26.16 -144.83   26.56   5.7   5.0   1.4   0.9   0.8
T01F70  81177 2151   27.90 -148.21   24.67   6.2   5.4   1.4   0.9   0.9
T01F69  81177 2133   29.94 -150.74   22.68   7.1   6.2   1.5   1.0   0.9
T02F38  91077  241   24.60   90.89   29.07   6.0   5.3   1.7   1.1   0.9
T02F37  91077  227   25.53  117.65   30.96   5.0   4.4   1.5   1.0   0.8
T02F36  91077  214   20.12   94.01   32.61   5.1   4.5   1.8   1.1   0.9
T02F35  91077  200   19.47  -34.06   34.29   5.4   4.7   2.1   1.2   1.0
T02F34  91077  148   19.68  -32.63   35.62   4.8   4.2   1.9   1.1   0.9
T02F33  91077  135   19.78  -30.47   36.94   5.3   4.7   2.3   1.3   1.1
T02F32  91077  123   19.78  -28.80   38.04   4.2   3.7   1.9   1.1   0.9
T02F31  91077  110   19.65  -26.38   39.11   5.3   4.7   2.6   1.5   1.2
T02F30  91077   57   19.43  -23.83   40.02   3.6   3.2   1.8   1.0   0.8
T02F29  91077   43   19.06  -20.46   40.82   4.7   4.1   2.4   1.4   1.1
T03F68 102077  317   26.62 -148.72   33.25   3.1   2.7   1.0   0.6   0.5
T03F67 102077  301   23.75 -146.71   35.99   3.2   2.8   1.2   0.7   0.6
