2.1675915 10.90243 57.94624 44.20246 -3.56597 31/01/06 06:05:46 -7.64068       60 7088.592 6092.427
1.8728398 10.90615 57.92317 32.67643 -1.95559 31/01/06 07:42:11 -7.55962       60 6880.238 6336.478
4.9748479 7.464591 51.10057 35.77748 -2.76517 31/01/06 03:27:53 13.81599       60 2163.542 1846.818
4.9224892 7.464524 51.10084 35.59863 -2.74540 31/01/06 03:29:03 13.81680       60 2192.197 1875.452
4.8378288 7.464150 51.10071 35.41755 -2.72536 31/01/06 03:30:16 13.81844       60 2221.232 1904.582
4.7468456 7.464373 51.10134 35.23425 -2.70503 31/01/06 03:31:29 13.81927       60 2251.161 1934.522
4.7045961 7.464271 51.10107 35.05376 -2.68499 31/01/06 03:32:40 13.82010       60 2280.652 1964.145
4.6360325 7.464181 51.10076 34.87609 -2.66522 31/01/06 03:33:52 13.82093       60 2309.882 1993.548
4.5928887 7.464372 51.10089 34.69372 -2.64490 31/01/06 03:35:05 13.82176       60 2340.242 2024.070
4.5598895 7.464256 51.10077 34.51418 -2.62485 31/01/06 03:36:16 13.82344       60 2370.145 2054.246
4.4958480 7.464332 51.10054 34.33746 -2.60509 31/01/06 03:37:27 13.82428       60 2399.887 2084.261
4.4397937 7.464439 51.10091 34.15610 -2.58476 31/01/06 03:38:41 13.82513       60 2430.611 2115.302
4.4615986 7.464638 51.10063 33.97757 -2.56472 31/01/06 03:39:53 13.82599       60 2461.121 2146.151
4.3805645 7.464457 51.10027 33.79940 -2.54467 31/01/06 03:41:04 13.82684       60 2491.521 2177.016
4.3614160 7.464175 51.10072 33.62405 -2.52491 31/01/06 03:42:16 13.82854       60 2521.537 2207.552
4.3052548 7.464369 51.10081 33.44414 -2.50459 31/01/06 03:43:29 13.82942       60 2552.848 2239.337
4.2840774 7.464276 51.10073 33.26708 -2.48454 31/01/06 03:44:40 13.83028       60 2583.672 2270.731
4.2290637 7.464117 51.10099 33.09286 -2.46477 31/01/06 03:45:51 13.83114       60 2614.131 2301.807
3.6402537 7.464340 51.10089 29.98252 -2.10312 31/01/06 04:07:30 13.86847       60 3191.619 2896.015
3.5642172 7.464263 51.10077 29.81506 -2.08308 31/01/06 04:08:43 13.86941       60 3224.406 2930.036
3.5214165 7.464143 51.10079 29.64820 -2.06303 31/01/06 04:09:55 13.87034       60 3257.226 2964.122
3.4550041 7.464219 51.10154 29.48425 -2.04327 31/01/06 04:11:05 13.87127       60 3289.790 2997.912
3.4155297 7.464275 51.10102 29.31631 -2.02294 31/01/06 04:12:19 13.87220       60 3323.363 3032.782
3.4052883 7.464550 51.10115 29.15130 -2.00290 31/01/06 04:13:31 13.87409       60 3356.700 3067.372
3.3672510 7.464444 51.10101 28.98922 -1.98313 31/01/06 04:14:41 13.87503       60 3389.340 3101.346
3.3270716 7.464332 51.10125 28.82325 -1.96281 31/01/06 04:15:54 13.87598       60 3422.943 3136.340
3.2822167 7.464297 51.10123 28.66022 -1.94276 31/01/06 04:17:07 13.87694       60 3456.213 3170.987
3.2808221 7.464240 51.10174 28.50013 -1.92299 31/01/06 04:18:17 13.87789       60 3489.038 3205.188
3.2418203 7.464049 51.10130 28.33848 -1.90295 31/01/06 04:19:29 13.87979       60 3522.299 3239.896
3.2062611 7.464579 51.10124 28.17531 -1.88262 31/01/06 04:20:43 13.88076       60 3556.668 3275.603
3.2258753 7.464481 51.10077 28.01511 -1.86258 31/01/06 04:21:55 13.88172       60 3590.108 3310.504
3.1470660 7.464118 51.10142 27.85787 -1.84281 31/01/06 04:23:05 13.88267       60 3622.859 3344.753
3.1533000 7.464321 51.10106 27.69696 -1.82249 31/01/06 04:24:18 13.88364       60 3657.106 3380.451
3.1138957 7.464220 51.10123 27.53904 -1.80244 31/01/06 04:25:31 13.88558       60 3690.646 3415.489
2.5376443 7.464381 51.10082 23.13864 -1.18352 31/01/06 05:02:33 13.94036       60 4736.233 4508.495
2.5088513 7.464378 51.10057 23.01672 -1.16376 31/01/06 05:03:45 13.94139       60 4769.449 4543.144
2.4918261 7.464560 51.10067 22.89281 -1.14343 31/01/06 05:04:58 13.94243       60 4803.731 4578.853
2.4441334 7.464308 51.10030 22.77207 -1.12339 31/01/06 05:06:10 13.94348       60 4837.094 4613.677
2.4426504 7.464158 51.10171 22.65281 -1.10334 31/01/06 05:07:21 13.94452       60 4870.414 4648.403
2.4065125 7.464150 51.10195 22.53668 -1.08357 31/01/06 05:08:33 13.94556       60 4903.437 4682.792
2.4270817 7.464252 51.10231 22.41883 -1.06325 31/01/06 05:09:46 13.94767       60 4937.448 4718.174
2.4093732 7.464391 51.10167 22.30416 -1.04320 31/01/06 05:10:57 13.94871       60 4971.044 4753.114
2.3764488 7.464348 51.10037 22.19264 -1.02343 31/01/06 05:12:09 13.94976       60 5003.983 4787.393
